File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
14969d5e-273a-42a5-9bb1-4c585d987f35	51808cda-8154-4dfd-a251-5927cd2d3ef2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K0	TCGA-OR-A5K0-01A	Primary Tumor
55d9496f-f3a1-4ad5-ad11-31cb1383dd9e	7e264236-1f87-4b6b-8e87-165ec839dee8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5L6	TCGA-OR-A5L6-01A	Primary Tumor
7620973a-bdc0-49fa-bec8-f7a3262c4798	eb8809ea-2c62-4b0f-9bd5-b4b4ce313728.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LT	TCGA-OR-A5LT-01A	Primary Tumor
ac0898b2-7e7f-46d0-b8e9-5f0dacd86534	2f5d6a68-068e-45c9-aa94-a64e57031f30.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JZ	TCGA-OR-A5JZ-01A	Primary Tumor
f8816dd0-44c0-475f-8b15-76a94a5f644f	3b02ce94-fa3a-47f9-ae3a-ad288ed32432.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JK	TCGA-OR-A5JK-01A	Primary Tumor
91b7794a-7f02-4159-b684-368bdd3ce2bf	e51f1157-ef27-47b9-bd59-1456cd7eb33b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JT	TCGA-OR-A5JT-01A	Primary Tumor
30ea6d7b-7cdc-4bf0-9f7b-d0243ba40a55	29a5b8ad-0011-470c-bf34-1c74880b5b12.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LE	TCGA-OR-A5LE-01A	Primary Tumor
86cc67db-05c2-40e7-8dc8-e5cc6510b864	bc09980b-ca12-4fcd-8218-5b738701fd83.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J9	TCGA-OR-A5J9-01A	Primary Tumor
7950bc78-a7e6-43a7-9e54-067274152fbb	dc325248-ad22-48b2-853c-19ae117c8d83.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LK	TCGA-OR-A5LK-01A	Primary Tumor
6b75bcc2-7f28-4425-8050-9bf6c4a65a15	1026ea02-0009-403f-95bd-cde07dbdd21b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5L3	TCGA-OR-A5L3-01A	Primary Tumor
ee985afe-7c3f-435d-853d-6dbda9cf8c17	097399b6-be8c-4a85-a5ce-399ad24e8680.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K5	TCGA-OR-A5K5-01A	Primary Tumor
cfcd0e8a-b84e-409d-96c9-c72e496dd3ca	1da5e904-1fff-45f9-bc76-88d50864ee55.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PK-A5H9	TCGA-PK-A5H9-01A	Primary Tumor
5caed5c6-43ad-4d9b-b29b-398ade676797	3e67f2c0-67cd-4097-9350-e7dce0848da4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JB	TCGA-OR-A5JB-01A	Primary Tumor
f8536909-08c6-4a46-8875-2e5ef9eb05e3	585a9779-b57c-40a9-92f7-39d10b579bba.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LD	TCGA-OR-A5LD-01A	Primary Tumor
3137ba2b-0d6b-4fcc-8512-894fd6a43ff6	171e4e82-93ed-4be7-8b61-7c1df82bde0f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J3	TCGA-OR-A5J3-01A	Primary Tumor
c0dc8a0b-762e-497e-80f1-e1ab56305b33	c75b799f-6e0a-4cdd-b112-d47cf79b122d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LP	TCGA-OR-A5LP-01A	Primary Tumor
776f7e9f-2e66-4f9b-81f2-a3693ebf38b5	e7cefdbe-460f-4c48-ada4-53911fa7343a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LM	TCGA-OR-A5LM-01A	Primary Tumor
5693eb3b-1532-42d7-b5b1-103c8c262fb8	32e1cf1d-cf68-49a1-b299-2af98ca4902c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LA	TCGA-OR-A5LA-01A	Primary Tumor
6bbc8fc0-d082-4f7c-9070-3b6ed289f1f9	9a100fca-67f0-4dd0-819e-cffd2252b4ec.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JL	TCGA-OR-A5JL-01A	Primary Tumor
5eb87570-623b-48b1-8f3f-c5b13e84ab97	8a2d66dd-1554-4c02-9905-6e064285bc38.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JP	TCGA-OR-A5JP-01A	Primary Tumor
5b0a3017-5e89-4252-83df-31ea4046942e	b753855e-9a05-44c0-80ab-ac31ec10fbef.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PA-A5YG	TCGA-PA-A5YG-01A	Primary Tumor
d1441ef1-d7cb-414d-914b-81a3c380a82d	15715423-a115-46fe-803a-a206e391a86b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5L9	TCGA-OR-A5L9-01A	Primary Tumor
